SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
93,GEM/2026/B/7651050,"GEM/2026/B/7651050 - PTZ Camera,AIO DSP,Celling Speaker,Wireless Mic with Extention,Camera Extention Cable",GEM/2026/B/7651050,Ministry of Defence,,2026-06-22,Closed,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9453310
94,GEM/2026/B/7511056,GEM/2026/B/7511056 - CP PLUS 2MP PTZ (1920 X 1080 Pixel) or better Dome Camera,GEM/2026/B/7511056,Ministry of Defence,,2026-06-20,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9297247
95,GEM/2026/B/7638295,"GEM/2026/B/7638295 - NVR,PTZ Outdoor Camera,Bullet Camera,8 POE Switch,16 POE Switch,UPS,UTP Cable,OFC Module,OFC Cable ",GEM/2026/B/7638295,Ministry of Defence,,2026-06-20,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9439221
96,GEM/2026/R/684080,"GEM/2026/R/684080 - 64 Channel Network Video Recorder,16 Channel POE Switch,8 Channel POE Switch,PTZ Camera Joystick Co",GEM/2026/R/684080,Ministry of Defence,,2026-06-20,Closed,GeM,National,PTZ Camera,https://bidplus.gem.gov.in/showbidDocument/9485829
97,GEM/2026/R/684098,"GEM/2026/R/684098 - 8MP Dual Light Dome IP Camera 30m IR,Outdoor PTZ IP Camera 2MP Full HD 45x Optical Zoom 300m IR IP6",GEM/2026/R/684098,Ministry of Defence,,2026-06-20,Closed,GeM,National,Optical Camera,https://bidplus.gem.gov.in/showbidDocument/9486059
98,GEM/2026/B/7606458,"GEM/2026/B/7606458 - DRONE,PTZ 2MP CCTV CAMERA 1920 X 1080 PIXEL,PTZ CAMERA STANDING POLE,OUTDOOR 2 MP CCTV CAMERA 1920 ",GEM/2026/B/7606458,Ministry of Defence,,2026-06-20,Closed,GeM,National,"PTZ Camera, Security Equipment",https://bidplus.gem.gov.in/showbidDocument/9403707
99,GEM/2026/B/7681200,GEM/2026/B/7681200 - Custom Bid for Services - Repair of ANVD for Insas Rifle (SED00210),GEM/2026/B/7681200,Ministry of Defence,,2026-07-03,09:04:32,GeM,National,NVD,https://bidplus.gem.gov.in/showbidDocument/9487060
100,GEM/2026/B/7674250,"GEM/2026/B/7674250 - CCTV Camera,PTZ Camera,AI Intrusion Detection System,GPU for AI Intrusion Detection System,NVD,Digi",GEM/2026/B/7674250,Ministry of Defence,,2026-07-02,08:04:32,GeM,National,"NVD, PTZ Camera, Intrusion Detection, Security Equipment",https://bidplus.gem.gov.in/showbidDocument/9479391
101,GEM/2026/B/7687090,GEM/2026/B/7687090 - NVD (BINOCULAR),GEM/2026/B/7687090,Ministry of Defence,,2026-06-30,06:04:32,GeM,National,NVD,https://bidplus.gem.gov.in/showbidDocument/9493608
102,GEM/2026/B/7568111,"GEM/2026/B/7568111 - CP Plus Dome CCTV Camera 4MP IP Night Vision IR STQC Certified,CP Plus 32 Channel 4K AI Network vid",GEM/2026/B/7568111,Ministry of Defence,,2026-06-20,Closed,GeM,National,Security Equipment,https://bidplus.gem.gov.in/showbidDocument/9360599
103,GEM/2026/B/7502566,GEM/2026/B/7502566 - Passive Night Vision Binocular as per MHA QR (V2),GEM/2026/B/7502566,Ministry of Defence,,2026-06-20,Closed,GeM,National,Night Vision Device,https://bidplus.gem.gov.in/showbidDocument/9287999
104,GEM/2026/B/7545345,GEM/2026/B/7545345 - 02 X COUNTER DRONE SHOT GUN(C-UAS) ALONG WITH 200 ROUNDS,GEM/2026/B/7545345,Ministry of Defence,,2026-06-20,Closed,GeM,National,Counter UAV,https://bidplus.gem.gov.in/showbidDocument/9335102
105,GEM/2026/B/7501791,GEM/2026/B/7501791 - Thermal Imaging Monocular,GEM/2026/B/7501791,Ministry of Defence,,2026-06-20,Closed,GeM,National,Monocular,https://bidplus.gem.gov.in/showbidDocument/9287115
