SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
2654,GEM/2026/B/7574399,"GEM/2026/B/7574399 - CPC-II, P/N: 9907-1200; Existing CPC Sr No: 18606750; Year: 2013; Max Working Pressure: 10 Bar,WOOD",GEM/2026/B/7574399,Ministry of Chemicals and Fertilizers,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9367569
2655,GEM/2026/B/7661755,"GEM/2026/B/7661755 - Digital Distometer Make Skadioo or Bosch,Speedo or Odo Meter for measuring of Road Distance,Road De",GEM/2026/B/7661755,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9465196
2656,GEM/2026/B/7661845,GEM/2026/B/7661845 - CS ELECTRODE FOR SMAW SIZE 3.15MMX450MM LONG AS PER SPECIFICATION AA7710112,GEM/2026/B/7661845,Ministry of Heavy Industries and Public Enterprises,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9465296
2657,GEM/2026/B/7645471,"GEM/2026/B/7645471 - HOSE REEL FOR AVCAT SYSTEM 40NB AS PER DOC.,FLEXIBLE HOSE WITH 1 1/2BSP FEMALE ADAPTOR 30 M LONG,AV",GEM/2026/B/7645471,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9447179
2658,GEM/2026/B/7657766,"GEM/2026/B/7657766 - Honey,Salt,Oil,Cream Cheese,Mozzarella Cheese,Fresh Parsley,Walnuts,Gram Flour Besan,Gram masala,Co",GEM/2026/B/7657766,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9460744
2659,GEM/2026/B/7513755,"GEM/2026/B/7513755 - PAN with fixing fastener, Drg. No. 2-429-067/2-429-A-067 spare for 1.5 mtr x 10.5 mtr long Apron Fe",GEM/2026/B/7513755,PMO,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9300199
2660,GEM/2026/B/7484010,"GEM/2026/B/7484010 - Hardwood 300 X 100 X 1200mm Long, Material Grade– Salwood.,Softwood 300 X 100 X 1200mm Long, Mate",GEM/2026/B/7484010,Ministry of Defence,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9267187
2661,GEM/2026/B/7560835,"GEM/2026/B/7560835 - Cat. No. 16700108500,Cat. No. 16700108501,Cat. No. 16700108502,Cat. No. 16700108503,Cat. No. 167001",GEM/2026/B/7560835,Ministry of Power,,2026-06-24,00:04:32,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9352433
2662,GEM/2026/B/7517415,"GEM/2026/B/7517415 - Battery For Thermo Meter Coin Battery,ECG A4 Paper A4 Z Fold,ECG Paper For Defibrillator,HIV Kit - ",GEM/2026/B/7517415,Ministry of Health and Family Welfare,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9304248
2663,GEM/2026/B/7637833,"GEM/2026/B/7637833 - Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - THERMAL POWER PLAN",GEM/2026/B/7637833,Energy Department Uttar Pradesh,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9438701
2664,GEM/2026/B/7591219,"GEM/2026/B/7591219 - Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - THERMAL POWER PLAN",GEM/2026/B/7591219,Energy and Petro Chemicals Department Gujarat,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9386397
2665,GEM/2026/B/7591345,"GEM/2026/B/7591345 - Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - THERMAL POWER PLAN",GEM/2026/B/7591345,Energy and Petro Chemicals Department Gujarat,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9386537
2666,GEM/2026/B/7543445,"GEM/2026/B/7543445 - Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - Thermal power plan",GEM/2026/B/7543445,Energy and Petro Chemicals Department Gujarat,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9332995
2667,GEM/2026/B/7543648,"GEM/2026/B/7543648 - Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - THERMAL POWER PLAN",GEM/2026/B/7543648,Energy and Petro Chemicals Department Gujarat,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9333219
2668,GEM/2026/B/7575958,"GEM/2026/B/7575958 - Calibration Services - Mechanical, Electrical, Thermal, Time; Dimension, Voltage, Current, Power (A",GEM/2026/B/7575958,Ministry of Power,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9369294
2669,GEM/2026/B/7613559,GEM/2026/B/7613559 - Facility Management Services - LumpSum Based - Industrial; SALE OF BALANCE DRY FLY ASH OF UNIT NO 1,GEM/2026/B/7613559,Energy Department Uttar Pradesh,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9411623
2670,GEM/2026/B/7454586,"GEM/2026/B/7454586 - Repair, Maintenance, and Installation of Plant/ Systems/Equipments (Version 2) - BHAVNAGAR LIGNITE ",GEM/2026/B/7454586,Energy and Petro Chemicals Department Gujarat,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9234365
2671,GEM/2026/B/7350768,GEM/2026/B/7350768 - Hiring of Agency for IT Projects- Milestone basis,GEM/2026/B/7350768,Information Technology and Electronics Department Uttar Pradesh,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9114859
2672,GEM/2026/B/7562920,GEM/2026/B/7562920 - Custom Bid for Services - 9040C26B46 Lining up of agency for IFO water emulsion firing in TPS Boile,GEM/2026/B/7562920,Ministry of Petroleum and Natural Gas,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9354789
2673,GEM/2026/B/7522063,GEM/2026/B/7522063 - MACHINING & SUPPLY OF ZIRCALOY BLANKS,GEM/2026/B/7522063,PMO,,2026-06-23,Closed,GeM,National,,https://bidplus.gem.gov.in/showbidDocument/9309390
