SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
357,315110,03/01 OF 2026/2027 - Roads and Buildings-Roads and Buildings-AHMEDABAD ELECTRICAL DIVISION NO 2,03/01 OF 2026/2027,Roads and Buildings-Roads and Buildings-AHMEDABAD ELECTRICAL DIVISION NO 2,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
358,313260,2026-27/16/08 - Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,2026-27/16/08,Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
359,313245,2026-27/16/07 - Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,2026-27/16/07,Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
360,313218,2026-27/16/06 - Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,2026-27/16/06,Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
361,313200,2026-27/16/05 - Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,2026-27/16/05,Project Implementation Unit-Project Implementation Unit-Project Implementation Unit,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
362,316589,BRD/233/JUNE/2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Rural Division Office - Bhavnagar,BRD/233/JUNE/2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Rural Division Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
363,312802,PRD/T-1/558-6 DT.01.06.26. - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Rural Division - Porbandar,PRD/T-1/558-6 DT.01.06.26.,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Rural Division - Porbandar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
364,316465,66/AMCO-03/2026 SKD 35/08 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Savarkundla,66/AMCO-03/2026 SKD 35/08,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Savarkundla,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
365,316461,66/AMCO-03/2026 SKD 34/07 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Savarkundla,66/AMCO-03/2026 SKD 34/07,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Savarkundla,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
366,316392,66/AMCO-03/2026 SKD 33/06 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Savarkundla,66/AMCO-03/2026 SKD 33/06,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Savarkundla,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
367,313947,"PALITANA DIV-463/PGDOB/908, DT-20.05.2026 & BVNC/PGBCH/GEN/e-file/465/2026/2175/Acc, DT-09.06.2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana","PALITANA DIV-463/PGDOB/908, DT-20.05.2026 & BVNC/PGBCH/GEN/e-file/465/2026/2175/Acc, DT-09.06.2026",Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
368,311517,"PALITANA DIV-460/PGDOB/825, DT-20.05.2026 & BVNC/PGCBH/465/2026/2057, DT-03.06.2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana","PALITANA DIV-460/PGDOB/825, DT-20.05.2026 & BVNC/PGCBH/465/2026/2057, DT-03.06.2026",Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
369,311492,"TENDER NOTICE: PALITANA DIV-459/PGDOB/825, DT-20.05.2026 & BVNC/PGCBH/465/2026/2057, DT-03.06.2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana","TENDER NOTICE: PALITANA DIV-459/PGDOB/825, DT-20.05.2026 & BVNC/PGCBH/465/2026/2057, DT-03.06.2026",Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
370,311481,"TENDER NOTICE: PALITANA DIV-458/PGDOB/825, DT-20.05.2026 & BVNC/PGCBH/465/2026/2057, DT-03.06.2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana","TENDER NOTICE: PALITANA DIV-458/PGDOB/825, DT-20.05.2026 & BVNC/PGCBH/465/2026/2057, DT-03.06.2026",Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Palitana,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
371,315232,052/26 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Jam Khambhaliya,052/26,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Jam Khambhaliya,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
372,312341,PGVCL/Civil/2026/14 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Corporate Office - Rajkot,PGVCL/Civil/2026/14,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Corporate Office - Rajkot,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
373,312323,PGVCL/Civil/2026/13 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Corporate Office - Rajkot,PGVCL/Civil/2026/13,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Corporate Office - Rajkot,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
374,313682,ET-12/2026-27 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,ET-12/2026-27,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
375,313679,ET-11/2026-27 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,ET-11/2026-27,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
376,313674,ET-10/2026-227 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,ET-10/2026-227,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
377,313669,ET-09/2026-27 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,ET-09/2026-27,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
378,313663,ET-08/2026-27 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,ET-08/2026-27,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
379,313630,ET-07/2026-227 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,ET-07/2026-227,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City2 Division -JAMNAGAR,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
380,311559,PCD/TECH/TENDER INQUIRY NO-527 DT:- 02.06.2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,PCD/TECH/TENDER INQUIRY NO-527 DT:- 02.06.2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
381,311545,PCD/TECH/TENDER INQUIRY NO-526 DT:- 02.06.2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,PCD/TECH/TENDER INQUIRY NO-526 DT:- 02.06.2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
382,311484,PCD/TECH/TENDER INQUIRY NO-522 DT:- 02-06-2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,PCD/TECH/TENDER INQUIRY NO-522 DT:- 02-06-2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
383,311342,PCD/TECH/TENDER INQUIRY NO-525 DT:- 02-06-2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,PCD/TECH/TENDER INQUIRY NO-525 DT:- 02-06-2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
384,311226,PCD/TECH/TENDER INQUIRY NO-519 DT:- 02-06-2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,PCD/TECH/TENDER INQUIRY NO-519 DT:- 02-06-2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
385,311189,PCD/TECH/TENDER INQUIRY NO-517 DT:- 02-06-2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,PCD/TECH/TENDER INQUIRY NO-517 DT:- 02-06-2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Porbandar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
386,302368,SEJND/T-2/TN-327/1119 dt. 06-05-2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Junagadh,SEJND/T-2/TN-327/1119 dt. 06-05-2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Junagadh,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
387,302328,SEJND/T-2/TN-327/1119 dt. 06-05-2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Junagadh,SEJND/T-2/TN-327/1119 dt. 06-05-2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-City Division - Junagadh,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
388,312299,MRC-01 (2026-27) - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Morbi,MRC-01 (2026-27),Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Morbi,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
389,311027,Tender No. 847 dt 3.6.2026 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Botad,Tender No. 847 dt 3.6.2026,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Botad,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
390,309160,BVNC/Tech-1/TN-09/06 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,BVNC/Tech-1/TN-09/06,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
391,309125,BVNC/Tech-1/TN-09/05 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,BVNC/Tech-1/TN-09/05,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
392,309052,BVNC/Tech-1/TN-09/03 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,BVNC/Tech-1/TN-09/03,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
393,309009,BVNC/Tech-1/TN-09/02 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,BVNC/Tech-1/TN-09/02,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
394,308897,BVNC/Tech-1/TN-09/01 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,BVNC/Tech-1/TN-09/01,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
395,296659,BVNC/Tech-1/TN-06/03 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,BVNC/Tech-1/TN-06/03,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
396,281665,BVNC/Tech-1/TN-04/01 - Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,BVNC/Tech-1/TN-04/01,Paschim Gujarat Vij Company Limited-Energy And Petrochemicals Department-Circle Office - Bhavnagar,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
397,316674,"8/2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panchayat Irrigation Division - Morbi",8/2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panchayat Irrigation Division - Morbi",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
398,316742,"4 of 2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",4 of 2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
399,316739,"4 of 2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",4 of 2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
400,316736,"4 of 2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",4 of 2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
401,316734,"4 of 2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",4 of 2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
402,316731,"4 of 2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",4 of 2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Panam Project Division",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
403,314461,"NIT-03 of 2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Irrigation Mechanical Division No. 1 Vadodara",NIT-03 of 2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Irrigation Mechanical Division No. 1 Vadodara",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
404,315804,"06 of 2026-27 - Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Damanganga Canal Distry Dn.No-3 Balitha",06 of 2026-27,"Narmada Water Resources-Narmada and Water Resources, Water Supply and Kalpsar Department-Damanganga Canal Distry Dn.No-3 Balitha",,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
405,315787,ARC Hiring of Machines/2026-27(Fourth Attempt) - Nagarpalika (All Nagarpalika Gujarat)-Urban Development and Urban Housing Department-Valsad Nagar Seva Sadan,ARC Hiring of Machines/2026-27(Fourth Attempt),Nagarpalika (All Nagarpalika Gujarat)-Urban Development and Urban Housing Department-Valsad Nagar Seva Sadan,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
406,315709,Cold Mix Patch/2026-27(Second Attempt) - Nagarpalika (All Nagarpalika Gujarat)-Urban Development and Urban Housing Department-Valsad Nagar Seva Sadan,Cold Mix Patch/2026-27(Second Attempt),Nagarpalika (All Nagarpalika Gujarat)-Urban Development and Urban Housing Department-Valsad Nagar Seva Sadan,,2026-06-30,06:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
